trip_id,user_id,name_user,rut_user,vehicle_id,booking_time,start_time,end_time,status_id,travel_dist,membership_id,price_amount,price_tax,price_total,start_lat,start_lon,end_lat,end_lon
0,476,Rebecca Charles,59959528,95,2022-03-07 22:48:16,2022-03-07 22:55:16,2022-03-08 18:28:16,4,6165688,1,11122,2113.18,13235,-33.87863782553843,-71.02788287609009,-34.123515291242924,-71.35636867720585
1,427,Alex Reeves,90517421,83,2022-07-08 19:36:54,2022-07-08 19:43:54,2022-07-09 09:52:54,3,7020217,1,2489,472.91,2961,-34.09897118175137,-71.27536674906213,-33.856469721456676,-71.1704194644305
2,987,Mr. Jeremy Torres,36729496,61,2022-05-25 05:04:42,2022-05-25 05:14:42,2022-05-25 08:16:42,3,803100,3,1656,314.64,1970,-33.58152939751057,-70.53896558274045,-33.930672296060315,-70.5070203176805
3,343,Amanda Willis,70770856,12,2022-05-12 03:53:27,2022-05-12 04:02:27,2022-05-12 04:40:27,1,24,3,28272,5371.68,33643,-34.34151202792005,-71.41119096154348,-34.029063005724346,-71.22253987691592
4,74,Brenda Carter,23148564,92,2022-10-18 02:42:03,2022-10-18 02:55:03,2022-10-19 00:57:03,4,1049859,3,2765,525.35,3290,-33.51011760852834,-70.5458842471245,-33.843074452269505,-70.56703736236094
5,224,Lee Alvarez,49014775,73,2022-03-05 07:33:27,2022-03-05 07:45:27,2022-03-05 15:12:27,3,641140296,1,12266,2330.54,14596,-34.055208705023574,-71.41349045837184,-33.98374037622781,-70.5803577370335
6,743,Amanda Torres,92935341,15,2022-11-27 22:22:07,2022-11-27 22:35:07,2022-11-28 01:04:07,2,9576,1,6991,1328.29,8319,-33.94671298442514,-70.9250487355425,-33.50941003277848,-71.08011530035107
7,273,Alexander Hernandez,91914053,38,2022-10-10 19:31:46,2022-10-10 19:39:46,2022-10-11 19:23:46,6,65,3,15290,2905.1,18195,-33.60548212428951,-70.52751281535046,-33.709799917274545,-70.80357518908741
8,526,Anne Adams,84837657,63,2022-04-07 11:20:26,2022-04-07 11:23:26,2022-04-07 17:38:26,6,38,1,15439,2933.41,18372,-34.35748556049401,-71.25773788098427,-33.53767288414586,-71.01423147544149
9,996,Craig Baxter,92751894,66,2022-06-02 19:01:58,2022-06-02 19:11:58,2022-06-03 02:21:58,1,717825,2,3421,649.99,4070,-34.1729003947408,-71.02015106872742,-34.471075947065955,-71.28241747932503
10,854,Ryan Hernandez,23668356,38,2022-05-06 21:11:06,2022-05-06 21:24:06,2022-05-07 17:17:06,1,83,2,17263,3279.9700000000003,20542,-34.17266924541634,-71.18703460762617,-33.774932226343125,-70.57572102521411
11,76,Laura King,83813304,95,2022-09-27 19:20:25,2022-09-27 19:29:25,2022-09-28 04:32:25,5,69166733,3,9222,1752.18,10974,-33.81717502035219,-71.35058177558513,-33.86238209587044,-71.45280377780031
12,81,James Alexander,30762905,46,2022-12-30 00:33:38,2022-12-30 00:45:38,2022-12-30 06:34:38,2,486417,2,10378,1971.82,12349,-33.955430535443796,-70.62171988294295,-34.3758004413724,-70.80646370293996
13,370,Kimberly Kelly,64085735,55,2022-05-21 12:14:27,2022-05-21 12:23:27,2022-05-22 07:25:27,4,73611525,1,15353,2917.07,18270,-33.90536322416921,-71.40360479894994,-33.62285970090886,-70.74170718952006
14,496,Aaron Pearson,97408753,1,2022-04-23 07:46:20,2022-04-23 07:53:20,2022-04-24 04:03:20,3,3665,1,27846,5290.74,33136,-34.39950529794218,-71.09831151208031,-33.93165463501135,-70.76128889498662
