trip_id,user_id,name_user,rut_user,vehicle_id,booking_time,start_time,end_time,status_id,travel_dist,membership_id,price_amount,price_tax,price_total,start_lat,start_lon,end_lat,end_lon
0,796,Tanya Barron,12507013,37,2022-08-04 19:02:55,2022-08-04 19:16:55,2022-08-05 17:43:55,6,29710,1,24117,4582.2300000000005,28699,-33.707709058844934,-70.74866924728535,-34.22377892115121,-70.83817416213786
1,963,Valerie Serrano,66945220,4,2022-10-11 21:49:09,2022-10-11 22:00:09,2022-10-12 13:43:09,4,65402,1,23489,4462.91,27951,-34.31327876111579,-70.85319628395365,-34.4448534903636,-71.12773197311795
2,261,Kara Reyes,66327332,81,2022-11-19 00:18:15,2022-11-19 00:21:15,2022-11-19 23:46:15,4,65681,2,2781,528.39,3309,-33.62785430299457,-70.61282140353636,-33.914429453310596,-70.65052136135505
3,268,Megan Hughes,83985539,63,2022-07-20 17:02:58,2022-07-20 17:06:58,2022-07-20 19:55:58,4,14031,2,9037,1717.03,10754,-34.475022839237475,-71.30564854869058,-34.369742670591734,-70.61811098328853
4,712,Shane Cain,16916542,16,2022-07-16 09:01:06,2022-07-16 09:13:06,2022-07-16 19:31:06,6,30351,3,26469,5029.11,31498,-33.99302453849592,-71.4496594021185,-34.09940162988261,-71.13891403054102
5,180,Jeremy Gonzales,15148824,36,2022-09-14 14:40:54,2022-09-14 14:55:54,2022-09-15 02:44:54,6,28060,3,6302,1197.38,7499,-34.39810407976385,-71.42768807207383,-33.852742165827166,-71.0703636236339
6,934,Timothy Mclean,80774192,58,2022-06-11 03:32:59,2022-06-11 03:43:59,2022-06-11 05:45:59,5,94809,3,10708,2034.52,12742,-34.24926829499201,-70.57817900965073,-33.54216358699669,-70.8621774458341
7,106,Susan Ho,11736909,97,2022-06-24 08:38:16,2022-06-24 08:49:16,2022-06-25 01:41:16,3,30474,2,1086,206.34,1292,-33.52503916504259,-70.61139628710471,-33.50187535020577,-70.80307745876372
8,845,Sharon Nichols,40642542,87,2022-05-06 19:58:30,2022-05-06 20:04:30,2022-05-07 05:02:30,5,11555,1,22357,4247.83,26604,-34.313740241257335,-70.72103675653368,-34.03349540988547,-71.20534762882566
9,475,Brittney Ortiz,81032641,28,2022-01-31 15:25:22,2022-01-31 15:37:22,2022-02-01 14:58:22,6,60058,3,22661,4305.59,26966,-33.98840956390551,-71.3696749830356,-33.75841335021379,-70.93792220834754
10,335,Andrea Crawford,75987782,17,2022-09-06 12:03:24,2022-09-06 12:18:24,2022-09-06 17:07:24,5,34235,2,6437,1223.03,7660,-33.73227034973788,-70.7690588833677,-33.972102172274546,-71.27493740125557
11,356,Adam Schaefer,78808268,17,2022-04-01 12:41:26,2022-04-01 12:42:26,2022-04-02 07:39:26,6,11790,3,8572,1628.68,10200,-33.75088252665929,-71.20994754202566,-33.974191341947886,-71.06200900221441
12,101,Kelly Rivera,97110653,60,2022-11-20 01:24:28,2022-11-20 01:32:28,2022-11-20 13:24:28,5,84454,1,17107,3250.33,20357,-33.55437876367784,-71.43290415578488,-33.857673439793956,-71.21946406732033
13,514,Dakota Scott,69815584,71,2022-01-13 14:03:28,2022-01-13 14:14:28,2022-01-14 08:37:28,6,24160,3,22217,4221.2300000000005,26438,-33.83581273627397,-71.26299836755537,-33.78256549264174,-70.75888135697195
14,979,David Campos,14018674,9,2022-12-07 03:01:16,2022-12-07 03:03:16,2022-12-07 09:24:16,5,11259,1,5764,1095.16,6859,-34.06844370331182,-70.88851327241322,-33.51074201614754,-70.77103317495197
15,269,Zachary Roberts,84108157,44,2022-09-28 00:11:09,2022-09-28 00:12:09,2022-09-28 07:28:09,1,45360,2,19467,3698.73,23165,-33.64363804786405,-71.41106514905906,-34.16109897309676,-70.90150323475342
16,395,Joshua Ortega,59342321,45,2022-02-14 02:27:13,2022-02-14 02:36:13,2022-02-14 16:25:13,5,56780,1,22122,4203.18,26325,-33.703536657729785,-70.9141357535266,-34.17293503276519,-70.79540522501603
17,349,Jeffrey Mack,72086439,98,2022-09-15 19:38:06,2022-09-15 19:39:06,2022-09-16 02:34:06,2,95169,2,2932,557.08,3489,-33.92291608010371,-70.58208423839575,-34.470574843615594,-70.7834882158075
18,373,Craig Cortez,24747123,88,2022-10-08 21:36:56,2022-10-08 21:47:56,2022-10-09 16:32:56,5,96353,3,22068,4192.92,26260,-33.626365489876,-70.83765267134865,-33.87760579069869,-70.92499501018997
